"Title","Url Title","Entry Date","Subhead","Posted By","Body","Categories"
"Should You Fire Yourself?","should-you-fire-yourself","February 04, 2016","","Matthew Cadman","

Recently, I’ve had some interesting conversations with clients, colleagues, and friends about how busy life is. In fact, I doubt you’ll make it through this blog post without some kind of interruption! Excessive busyness has become a regular part of our lives. Some of us are expert task-jugglers (or at least it looks that way). Others of us struggle with the juggling act.    

As we start a new year, it’s a great time to ask yourself if your juggling act is preventing you from achieving your goals. If the answer is yes, then I’d like to issue you a challenge: fire yourself. That might sound a little scary. Maybe even completely crazy. But the bottom line is that if you have too much on your plate, you will never be successful.

I’m not saying that you need to quit your job or give up on your career. And I’m definitely not saying that you should sacrifice your personal relationships to be successful at work. I am saying that you can’t do it all. And no matter how energetic or strong willed you are, at some point, you have to focus on the things that make a difference. If you feel overwhelmed, can’t find enough time in the day, don’t get enough sleep, and watch your weekdays run into weekends over and over again, know that there is hope…but you might need to fire yourself. Here’s how to do it.

 

HOW TO FIRE YOURSELF

1. Set clear goals. Start with five goals. Once you clarify your top priorities, you’ll quickly identify areas where you need to fire yourself. Understanding your objectives, and limiting how many you have, will provide you with the best opportunity to be successful. You still have to be smart and work hard, but eliminating the things that are getting in your way will help you become much more effective, almost overnight.

2. Know when to say “no.” You might be pretty good at setting five goals. But how often do you say no? An extra project at work. Another home improvement. A social outing. You probably have the best intentions when you say yes. “If I give extra support to my team or my manager, that will help me get ahead at work.” “If I say yes to another project at home, then I’ll be able to get more done and finally relax with my family.”

The fact is that you can’t make everyone happy, all of the time. Pretty soon, your list of goals has doubled from five to ten and you’re on track to achieve maybe one or two of them. Firing yourself will only work if you learn to say no. Otherwise, you’ll end up right back where you started—overwhelmed and underachieving.

3. Ask for help. Have you ever been assigned a project (even one related to your top five goals) and felt that empty feeling in your stomach because you knew it would be a ton of work and you might not have the resources you need? When that happens, ask for help. Help comes in many forms: reprioritizing your work load, getting some extra budget to hire outside help, or taking something off your list. Whatever form it takes, it’s okay to speak up and make sure that your manager or your partner in life knows that you need help. It isn’t about being strong or weak, rather, it’s about being honest and being able to deliver on your promises.

 

FINAL THOUGHTS

As you think about your life, professionally and personally, I encourage you to take a realistic look under your own hood. Are your priorities clear? Do you know how to say no and ask for help? Can you have an honest discussion with your manager at work and your partner at home? If you can, that is fantastic. If you can’t, or if you feel like you’re running out of energy and focus, then it might be time to fire yourself from the things that are getting in the way. I think you’ll quickly find that you’re more effective in every aspect of life. And throughout the year, make sure to give yourself permission to do some things just for you.","
  People & Change
"
"One Simple Suggestion That Could Save Your GRC Program","one-simple-suggestion-that-could-save-your-grc-program","January 22, 2016","","Michael Nido","

A long time ago, in a consulting firm far, far, away, we were taught a somewhat counterintuitive principle: work backward. This proved to be an effective way to approach many difficult problems. We read complex documents from back to front, begin business process maps at the end and work toward the beginning, look at transactions from the client’s desired end result first, and so forth.

Today’s approach to Enterprise Governance, Risk, and Compliance (GRC) should really be no different.  Separated into its constituent parts, GRC is the confluence of three seemingly distinct disciplines: Corporate Governance, Enterprise Risk Management, and Legal & Regulatory Compliance. Blending the three in the modern organization is truly an art.

Those who touch GRC on a daily basis—Corporate Counsel, CIO’s, Policy Directors, and many others—should work in reverse from the strategic goal to be achieved on behalf of the organization, back to the operational tasks that need to be executed to “make it happen.” This is a bit different, and more comprehensive, than the oft-repeated “Begin with the End in Mind” proviso. Under the backwards analysis principle, we actually do begin at the end, and all analysis and strategic mapping is then planned in reverse from the end state.        

For example, your desired end state might be to have a fully-developed Corporate Compliance plan in place by December 31st. The underpinnings of such a GRC project are quite complex, to be sure. But the various operational tasks become much clearer when you first understand what you are trying to achieve. Do you want to obtain a certification, develop a corporate policy, or reduce risk? These three objectives might be closely related, but it is important to define them separately. Similarly, the line between strategy and operations should be clear. While a business can afford some variations in operational execution, it can almost never afford mistakes in strategy.    

Stephen Covey wrote about understanding the difference between the functions of “What to Do” and “How to Do.” Thinking about your GRC program in a holistic manner from desired finishing point back to starting point is clearly a “What to Do” function (which was, according to Covey, a higher-level task within an organization). It is really the entire conceptualization and design of the GRC program. Much of the actual execution of the program—the “How to Do”—can be carefully delegated to your operational staff or outsourced.

Moreover, the backwards analysis principle also allows us to work conceptually from the general, down to the specific, similar to the methodology utilized in cladistic diagrams. In cladistic analysis, a scientist will begin with the most general classification of organisms, and then drill-down level by level until the organism is properly classified. You should think in similar terms about GRC concepts—beginning with the goal to be achieved on behalf of the organization, and then schematically outlining each group of tasks or workflows required to accomplish the higher-level objective. This will also provide you with a neatly-packaged hierarchy that can be useful for internal audit purposes, resource justification, internal costing, and, perhaps most importantly, quantifying progress. The cladistic diagram will effectively be your primary roadmap for conceptualizing your program.  

There is another unexpected benefit of starting at the end: the degree of buy-in from your Board of Directors and C-Suite is enhanced because your program is built around organizational goals. A GRC program constructed in reverse with a comprehensive understanding of law, corporate policy, and societal goals will be more enduring, effective, and easily applied across the entire corporate organization.

And finally, enjoy the pride and purpose knowing that you are delivering your GRC program at a strategic level, not an operational or tactical level. Working in reverse will help you perform your functions holistically, at a high level, and not become mired in ‘the thick of thin things.’ You will demonstrate the intellectual discipline of understanding the end game and aligning your GRC program and its execution to the overall corporate vision, mission, and goals.               ","
  Operations & Technology
"
"Cybersecurity: Know the Enemy of Your Business","cybersecurity-know-the-enemy-of-your-business","January 20, 2016","","Gordon Matlock","""If you know the enemy and know yourself, you need not fear the result of a hundred battles.” - Sun Tzu

 

Nation-states, cyber criminals, and cyber terrorists may have different objectives, but they now share their codes, techniques, and information to attack U.S. industries. Their collaborative efforts have the potential to undermine the backbone of our critical infrastructure and economy. With cyber threats rapidly increasing in number and complexity, leading executives face more pressure than ever to protect their corporate assets.

During graduate school at the United States Naval War College, I studied military philosophy, military strategists, and leadership on the battlefield. Today, as I look at the cyber landscape, I see many similarities between the decisions made on the battlefield and the decisions made in the C-Suite.

Similar to a commander in battle, the modern executive is asked to minimize risk, stay one step ahead of the adversary, and make crucial decisions—sometimes with limited insight. To make matters worse, an executive must also consider strategic business priorities, competitive pressures, and the rapidly changing technology landscape. It’s a daunting task, but one that becomes more manageable when executives start with the right questions. For example:


	How likely is my company to suffer a loss?
	How can different security options reduce my expected losses, and at what cost?
	How are known threats impacting my system?
	Where do my corporate assets actually reside, and how do they contribute to my overall risk profile?
	How can I strategically prioritize my resources (people, tools, processes) where they will have the most impact?


Unfortunately, many executives don’t ask these probing questions. Instead, they throw the kitchen sink at a threat they don’t fully know or understand. Will the attack come in the back, front, or side door? Or, does the threat reside within? Executives should pause, get back to some basics, and ask the right questions before committing precious resources. As the old saying goes, “don’t send a battalion to take a hill when a regiment will do the job.”

The great military theorist Sun Tzu once said, “If you know the enemy and know yourself, you need not fear the result of a hundred battles.” However, “If you know yourself but not the enemy, for every victory you gained you will also suffer defeat.” And, finally, “If you know neither the enemy nor yourself, you will succumb in every battle.”

Applying this military philosophy in the cybersecurity domain and the boardroom is quite simple. Executives should identify their key vulnerabilities, their risk profile, and the latest information about external threats. Only then can they move forward with a strategy that informs decisions about financial planning, cyber defenses, risk mitigation, and business continuity.","
  Operations & Technology
"
"Developing a Dynamic Approach to Digital Marketing","developing-a-dynamic-approach-to-digital-marketing","January 05, 2016","","Thomas Doggett","

Digital marketing is in the midst of a revolution. New tools, exponential increases in customer data, and a dizzying array of online and offline channels make it difficult to determine the best way to interact with customers.

If you’re like most companies, it’s important to diversify your marketing mix to ensure you have a presence wherever your customers go to identify, evaluate, and try potential solutions. But, unless you’re one of the lucky few with a massive marketing budget and team, you need to prioritize carefully to make sure you’re reaching your target audiences in the right place at the right time.

As marketing teams shoulder more responsibility for lead generation and become more integrated with sales teams, they also need to be more responsive to the sales pipeline. An agile marketing model—where activities are prioritized based on business needs and pipeline status—is the ideal approach in today’s fast-moving, competitive marketplace.

In this article, we’ll discuss how to develop a Dynamic Digital Marketing Strategy (DDMS). This approach will not only provide you with a flexible framework for prioritizing your marketing investments over time, but also a way to align your message and company with your business priorities and sales pipeline.

 

START WITH THE CUSTOMER, END WITH THE CUSTOMER

The good news is that one thing in marketing hasn’t changed: it’s important to focus on your customer. The foundation for a DDMS begins by having a very clear understanding of your target customer segments.

A DDMS requires that you take this understanding a level deeper by identifying what the customer is trying to accomplish at each step of their journey and where they go to look for the answer. For example, in the evaluation phase, most customers try to understand the range of options that meet their needs. They might start with a Google or Bing search and check out company websites. They’ll also probably evaluate customer reviews and get input through social media or by word of mouth.

If your company is new to a market or looking to grow your market share, a good starting point is how competitors are positioning themselves, and where. Still, many competitors are trying to figure out what works—just like you are. So, keep your eyes open for options that leverage the “one-to-many” influence of social media, communities, associations, and key influencers such as independent experts.

Once you have mapped the customer journey for each of your primary target segments, organize your marketing strategies into workstreams and determine where they have the greatest impact on the customer journey. This will allow you to focus on what levers to pull, and when—and adapt dynamically to business and market needs based on pipeline metrics.

Finally, determine where your company currently interacts with customers and identify any key gaps. You don’t have to fill all of these gaps immediately—start by filling the priority areas and measuring impact as you go. A true dynamic strategy allows you to focus on a small number of strategies at a time, as your business priorities and sales pipeline dictate.


FOCUS ON INNOVATION AND THOUGHT LEADERSHIP

Once you understand what your customers are trying to do at each phase of their journey and where they go to do it, the next step is to determine what to say to them, so you can engage them in conversation and establish your relevance as a trusted partner. Instead of just entertaining your customers with broad content marketing topics, focus your messaging on content that helps them solve their specific problem for each phase in the journey. Instead of a broad marketing strategy that relies on hope and air cover, get specific about what strategies and activities are most effective at getting you in front of the customer and communicating the right message at the right time.

 

SCALE THROUGH MARKETING AUTOMATION

Marketing automation can be a very effective tool for driving a customer journey at scale and measuring the effectiveness of a broad range of strategies and tactics at each step of the customer journey. The beautiful thing about this technology is that it can follow the customer on their individual journey, sending valuable content, tools, and calls to action when the customer needs it. It can also enable you to get very sophisticated with customer segmentation, message testing, measurement, and incentives—tailoring your interaction to the customer’s specific needs.

 

UNDERSTAND ATTRITION

Once you have done all the hard work to attract your customer, the worst thing you can do is to abandon them once they have their hands on your product or service. If you have a marketing automation system in place, you can quantify each of the attrition points along the customer journey and focus your efforts on mitigating the worst points first. The ability to quantify changes in attrition over time is crucial here in order to gauge where you are getting the best return on marketing investment (ROMI) and prioritize future investments and strategies. Don’t be afraid to test numerous strategies at the same time, in small batches. As long as you tag each campaign, you can measure them individually.

 

STAY CLOSE TO YOUR CUSTOMERS AND PARTNERS

If you don’t have marketing automation, focus groups and surveys are good ways to understand why you lose customers (make sure you make it worth your ex-customer’s time). You can also monitor online sites and forums to gauge why customers are dissatisfied and engage directly with customers to rectify the situation. In most of the research projects we’ve done, we see most of the challenges—and their solutions—within the first ten customer interviews.

Above all, the worst thing you can do is think you have the answers and disconnect from your customers. Engage your customers, partners, and industry experts to understand how customers are buying, which products and services they are using, and why. You’ll be surprised how often this changes in today’s digital world.

 

STAY FLEXIBLE

In addition to mitigating attrition points, another key component of a DDMS is driving customers to the next stage in their journey, based on your immediate business needs. For example, let’s say your sales team is telling you that a large portion of their pipeline is stuck in the evaluation phase of their journey. This indicates that you either need to change the strategies you are utilizing to move prospects through the evaluation phase, increase the volume of your investment in these strategies, or both. The good news is that you can fix what’s broken, measure it, and evaluate a number of options at the same time.

 

READY, SET, GO

Once you’ve developed a Dynamic Digital Marketing Strategy, present it to the key stakeholders in your company and get their commitment to follow the model. If they see that you’ve taken a data-driven approach that truly meets the needs of your customers, they’ll be more likely to buy in and stay the course as you test and optimize your campaigns.

To maintain their support, make sure you review the results of your DDMS monthly, and adjust your focus on specific phases of the customer journey—and your business—that need the most attention. This will allow you to accommodate change without changing your plan and losing momentum.","
  Marketing & Digital
"
"Modernizing a Global Marketing Organization","modernizing-a-global-marketing-organization","January 03, 2016","","","When a Fortune 500 manufacturing company needed a marketing reboot, they turned to Bridge Partners for strategic guidance.

 



Our customer, a global manufacturing powerhouse, built their business on engineering excellence and product innovation. Over time, though, they realized that sustained success would require a marketing reboot. They came to Bridge Partners looking for a strategic adviser to help them develop a unified global marketing strategy. Bridge envisioned a process-driven marketing rhythm and a tightly coordinated effort across global subsidiaries.

 

THE MODERN MARKETING ORGANIZATION DEFINED

As a global company, our customer needed to optimize the marketing capabilities of their regional subsidiaries to deliver relevant, localized campaigns. At the same time, they also wanted to get the most out of corporate resources and build more cohesive global programs. Any organizational change would have to balance these two equally important, and sometimes competing priorities. Our consultants began by conducting a series of workshops with key executives. These workshops helped align marketing strategy with corporate business objectives and market opportunity. Bridge Partners brought the sales and marketing expertise and the organizational development savvy to craft an actionable strategy for a modern, global marketing organization.

 

EQUIPPED FOR CHANGE

Together with our clients, the Bridge Partners team collected data from across the globe and conducted a detailed sales and marketing assessment. We found subsidiaries that were failing to communicate and an organizational structure that lacked clarity. The result? Growth was stifled. Balancing both quantitative and qualitative data, our team delivered a Skills and Competency Assessment Toolkit to assess the sales and marketing organizations across the globe. The toolkit provided our customer the assets needed to transition disparate marketing groups into a cohesive global marketing organization. In addition, Bridge equipped the client with the change management tools necessary to migrate toward a centralized resource base to better support the subsidiaries. Our team’s industry expertise, marketing acumen, and focus on organizational excellence prepared our client for a successful transition.

 

WHAT WE DELIVERED



ALL SYSTEMS GO

Our customer built their business on engineering innovation. And today, with the help of Bridge Partners, they are bringing that same level of innovation to their marketing strategy to drive meaningful change across a global organization.","
  Marketing & Digital
  Customer Stories
"
"From Hierarchy to Wirearchy – Managing People & Change in the Digital World","from-hierarchy-to-wirearchy-managing-people-change-in-the-digital-world","November 18, 2015","","Cynthia LaRowe","

It’s a truism that the business world has changed. Digital technology is ramping up competition, disrupting industries, and blurring the line between the physical and virtual. At the same time, four generations bring different workstyles and motivations to the workforce—but all have common expectations for user-driven everything, social and mobile ubiquity, and a sharing economy. 

Traditional methods of managing people and change are falling short in the face of these seismic shifts in talent and technology. Command and control hierarchies are being overshadowed by “wirearchies” (a term coined by Jon Husband in 1999)  in which information is available on demand, and impact often comes from personal connection instead of organizational position. 

Whether they recognize it or not, most companies have wirearchy today. What differentiates industry leaders from others is how well they understand and leverage wirearchy to remain competitive in their markets and industries. What are the top ways to make the most of wirearchy in your business?

 

Democratize information and power-sharing

Top-down, bottoms-up, two-way—today’s top companies recognize that organizational structures are porous and that different power dynamics exist in interconnected networks. They encourage open exchange and influence through official and unofficial channels—inside and outside of the company. Zappo’s Culture Book is an interesting example. A collage of unedited employee impressions, the book is accessible and open to comment by the public online.      

 

Prioritize idea generation and innovation

Leading companies have always been characterized by knowledge, trust, credibility, and a drive for results. Today’s top companies build and reinforce these traits by setting expectations and visibly rewarding employees who champion and test ideas and who channel time, energy, and focus toward innovation. Google’s dedication of 20% time to employee-driven ideas is a recent, highly-publicized example. The company publishes and tracks the popularity of employee suggestions via an internal social tool called the “Google-o-meter.”  

 

Encourage employees to “swarm”

Modern employees expect the workplace to work like the rest of the world which uses crowdsourcing to make decisions and get things done. Top companies support employees self-forming into groups to solve client problems and provide collaboration tools to ensure their work and learnings are transparent—to clients, each other, and the company. Spotify Engineering works in loosely coupled but tightly aligned squads with end-to-end, release-to-resolution responsibility. Autonomous and cross-functional, they prioritize cross-pollination and internal “open sourcing” to learn quickly and create new solutions.

 

Shift from push to pull

Leaders in top companies plan on critical initiatives being driven at all levels. They include employees in creating compelling visions for the future and ensure that strategic objectives and metrics are clear. Employees with direct customer contact have significant decision-making influence and easy feedback mechanisms to retool strategies and metrics as needed. Famous for including empty seats at meeting tables to represent the customer, Amazon empowers employees to “make it right on the spot,” “working backwards” from customer needs to defined customer strategies, budgets, and programs.   

 

Embrace a culture of “perpetual beta”

Today’s top companies continuously adapt to survive and thrive in the constantly changing business world. They recognize that success lies less in a fixed way of doing things and more in flexibility, responsiveness, and agility to learn new ways to work. They support individuals “developing while doing” and reward “failing fast” with new challenges and opportunities. One of the first companies to publish its culture code online, Hubspot “seat shuffles” a large part of the company randomly every three months to reflect its credo that “change is constant” and to support “failing frequently [rather] than never trying new things.”

Wirearchy may sound radical, but in practice, people have always built and leveraged their own networks and if needed, worked around hierarchy to get things done. Wirearchy enables people to work together in intuitive and modern ways. Hierarchy is not dead in the modern business world—just repurposed from determining who commands and controls information to providing context for how decisions are made and governed across interconnected, interdependent, and highly innovative people, processes, and technology.

A different world, indeed.

 

*Wirearchy: a concept and term coined and written about extensively by Jon Husband since 1999, and Harold Jarche and others since.  Please see wirearchy.com for more information.  ","
  People & Change
"
"Planning for the Inevitable: A Proactive Change Approach","planning-for-the-inevitable-a-proactive-change-approach","November 18, 2015","","Tim Tow","Organizations seek change for many reasons—from adapting to changing business conditions or entering new markets, to gaining operational efficiencies. Whether it’s as simple as a new contract process or as radical as a new business model, landing change effectively and speedily is what separates successful organizations from the rest of the pack. 

Effective and speedy change doesn’t just happen by accident. It happens as the result of a thoughtful, proactive effort. Bridge Partners has helped many organizations land successful change initiatives and maximize the benefits of those initiatives using a structured change management approach. Framed by three objectives common to all change management efforts, we seek to:

1.  Decrease the dip in performance

2.  Shorten the duration of the dip in performance

3.  Increase the gains realized from change



Decrease the Dip in Performance

Studies show that with change management projects, there is an inevitable dip in productivity.  Impacted individuals contribute to this dip by the way they respond to change. The typical responses include:


	Denial – Believing that the impact of change is not applicable to them or their team
	Resistance – Continuing to operate “business-as-usual” or actively fighting change
	Exploration – Challenging new ways of doing business by comparing them to the old ways or looking for personal benefit
	Lack of Commitment – Not fully buying in and seeing how change benefits them and the organization


A fundamental component of change management is helping individuals see the benefits of change and identify and overcome the barriers they experience. It is critical to secure an executive sponsor to articulate the case for change. And that sponsor must be committed to the change themselves and have the credibility and rapport to get the organization aligned and individuals committed.

 

Shorten the Duration of the dip in performance 

To shorten the dip in performance, it is key to conduct a thoughtful examination of existing processes and a thorough impact assessment. Some common areas to explore during the impact assessment are:


	Scope – Determining the amount of change and the span of people, processes, and technologies affected
	As-Is/To-be Comparison – Identifying the major differences between the current state and the new state
	Risk Mitigation – Planning to address pitfalls and drawbacks during the change effort


The next step is to create a plan that mitigates the process impacts and delivers the future state in a measured way.

 

Increase the Gains Realized from Change

To increase the momentum of change, organizations should celebrate commitment and look for ways to continuously improve. Communicating successes and implementing a plan to measure the effectiveness of change can help them improve further and build positive momentum. Areas that are frequently neglected are:


	Measurement – Measuring the adoption and results attributed to the change
	Incentives – Ensuring impacted organizations and individuals are motivated to change
	Readiness – Identifying training and organizational alignment needed to enable and prepare people for change


In today’s environment, where technology changes rapidly and new markets emerge daily, reactive change is not enough. When change is too slow, too incremental, or, conversely, too big, it can paralyze organizations of all shapes and sizes. When that is the case, the costs often outweigh the benefits. To grow and adapt, successful organizations must practice intentional, proactive change.","
  People & Change
"
"Cynthia LaRowe to Lead People & Change Practice","cynthia-larowe-to-lead-people-change-practice","November 18, 2015","","","Bridge Partners is proud to announce the addition of Cynthia LaRowe to our Seattle, Washington office. Cynthia joins Bridge as a Practice Lead, responsible for the firm’s People & Change practice, which focuses on helping our clients align goals and roles, optimize organization, and excel at change. Cynthia brings more than two decades of experience leading global businesses at Microsoft and Starbucks and as a People & Change consultant across multiple functions and industries. Cynthia specializes in defining and implementing strategies that set companies apart to radically improve their results.

Richard Albrecht, Bridge Partners CEO, said, ""Cynthia brings an innovative point of view to Bridge. She has a unique ability to translate business objectives into people and change strategies that are relevant and meaningful today. Her breadth of business and consulting experience gives her deep familiarity with the challenges our clients face. With Cynthia’s leadership and expertise, Bridge and our clients have new capabilities to address those challenges.”

As Cynthia builds a practice focused on people and change, she will help clients:


	March in the same direction by developing strategic plans that ensure leaders are aligned and communicate how employees contribute to achieving them
	Organize for success by creating structures and roles that help people engage, collaborate, and innovate in the modern workplace
	“Talk their walk” by defining how employees are expected to act, what they should experience, the stories they should tell, and tools to reinforce them
	Line people up right by assessing what talent is needed, who is already onboard, and how to address any gaps between them
	Accelerate through change by providing a structured approach to help organizations and individuals transition from current to future states
	Make smart decisions on the move by using facts and perception to assess the scope and impact of change
	Build change “muscle and flexibility” by establishing a disciplined and integrated approach and developing critical capabilities to drive ongoing change


 

To start a conversation and learn more about People & Change, contact our Seattle office.

Since 2006, Bridge Partners has distinguished itself as a national leader in business consulting with offices in Seattle, San Francisco, Chicago, and Austin.","
  People & Change
"
"Beyond Likes: Social Media that Drives Results","beyond-likes-social-media-that-drives-results","November 18, 2015","","","When Microsoft wanted to bring OneNote to the classroom, they chose Bridge Partners to connect with educators.
 



CHANGING THE WAY STUDENTS LEARN

Do you feel sentimental when you see a chalkboard or Trapper Keeper? They might take you back to your childhood, but there’s a good chance your kids have never seen either one in their classroom. More and more, educators are leveraging technology to connect with students. And according to recent research, parents, students, and teachers agree: innovation is a good thing.



HELPING TEACHERS WORK SMARTER, NOT HARDER

While teachers want and need better technology, it can be a challenge to find the right solution. Microsoft OneNote fills a void by bringing a new dimension of organization and collaboration to the classroom. Microsoft approached Bridge Partners with the challenge: introduce a transformational product to an underserved market segment. Bridge Partners led the social media campaign to connect with educators, an audience that may not proactively shop for software solutions, and drive traffic to onenoteforteachers.com.

Bridge Partners offered the experience and vision needed to craft the strategy as well as the tactical skills and subject matter expertise to drive the day-to-day operations of an integrated campaign. The team developed end-to-end campaign specifications and led content design, delivery, and analysis of the results.



“Bridge Partners provided valuable direction on how to deliver my OneNote content to the educator, while building out a robust editorial calendar to create a sustainable educator journey.” – Ari Schorr, Product Marketing Manager, Microsoft OneNote

EXCEEDING BENCHMARKS ACROSS THE BOARD

Bridge Partners digital marketing consultants worked to develop high-value content with copy and images that spoke directly to teachers. With compelling content, smart targeting, and the right platform, the campaign outperformed every benchmark by 2x across three categories. With more than 7 million educators who are active users, LinkedIn Sponsored Updates became the vehicle of choice. The platform is uniquely designed for professional development and the micro-targeting ability presented an attractive solution for the Microsoft OneNote team. The campaign was a success (see LinkedIn case study). Today, more teachers are using OneNote to engage with students and prepare them for academic and professional success. Watch this video to learn more about how Bridge Partners helped Microsoft connect with educators and introduce them to the power of OneNote.

 

","
  Marketing & Digital
  Customer Stories
"
"Bridge Partners Named One of North America’s Fastest Growing Consulting Firms","bridge-partners-named-one-of-north-americas-fastest-growing-consulting-firm","November 11, 2015","","","

Consulting Magazine has just named Bridge Partners one of the North America’s Fastest Growing Consulting Firms for 2015. The annual list recognizes consulting firms of any size and from any sector. Companies are ranked by their rate of revenue growth between 2011 and 2014. Over the last three years, Bridge Partners has achieved remarkable revenue growth of 121%.

“Our people-focused, customer-driven approach is allowing us to impact more businesses in more locations than ever before. This award is a testament to the work of our consultants and our leadership,” said Richard Albrecht, CEO and Managing Partner. “Our customers love happy, capable consultants with valuable domain expertise. We’ll continue to drive growth and to focus on client, consultant, and leadership satisfaction.”

This award follows three distinct honors this year. Bridge Partners has been recognized as a Best Place to Work, one of Washington’s Fastest Growing Private Companies, and one of America’s Fastest Growing Businesses.","
  News
"
"Relationship Marketing: How Trust Works in a Digital World","relationship-marketing-how-trust-works-in-a-digital-world","October 21, 2015","","Richard Albrecht","I’ve previously written about the importance of understanding one’s customers and the power of branding in B2B marketing. One of the key elements of customer-centric marketing and long-term brand building is trust. A business’s ability to earn the trust of its customers is one of the most important factors of success for any business. Historically, personal relationships have been the most effective vehicle for building that trust and, eventually, brand loyalty. Today, most marketers are tasked with building trust through digital relationships, which brings both challenges and opportunities.

 

WHO DO YOU TRUST?

Recently, Nielsen research posted a study about trust in advertising. When asked what advertising sources they trust most, 83 percent of people say “someone I know,” and 66 percent say “opinions posted online.” Of course, most of us use trusted friends and colleagues for advice and product recommendations, but I find it interesting how willing we are to trust the opinions of people online. These are people we’ve never met—people who we may or may not trust in any other situation. This oftentimes misplaced trust leaves many customers vulnerable to the shady tactics of spurious marketers. Amazon’s recent lawsuit against fake reviewers is a perfect example of the importance of trust in the digital sphere. However, it’s also our willingness to trust that allows authentic brands to create a true value exchange and earn customer loyalty.

 

WHY TRUST MATTERS

Why is trust so important for marketers? Trust is a very important part of our interaction with the world. In our communities, in society as a whole, and in business, trust is the key factor that enables us to function and thrive. I recently read an article about key factors that enable trust in the March 2014 edition of Psychology Today. The key psychological driver of trust is an assumption that if you need help, you can turn to someone who will support you when you need it, coupled with a recognition that the support will be beneficial.

Marketers can use an awareness of this basic psychological construct of trust to build their brands, grow customer relationships, and go to market more effectively. Customers expect brands (consciously or subconsciously) to help them when asked, support an ongoing relationship, and make things right when they go wrong.  

Even in our highly digitized state, people tend to form better relationships in the real world than in the virtual world, so marketers must get smart about building and scaling their digital relationship engines. And it is hard to scale a relationship engine when our capacity for trusted connections is limited. For the nerds among us, I recently came across some interesting stuff on the limits of relationships and trust, based on our brain’s capacity to form bonds.

Marketers should take heed of the current thinking that posits that the digital ecosystem can increase people’s capacity to form trusted relationships. To succeed in today’s complex marketing environment, marketers must create a process to actualize trust across the digital ecosystem. Smart marketers will use that trust to build programs that drive sales, loyalty, advocacy, and referrals, which in turn create more trust in a virtuous relationship-marketing cycle.

 

HOW BRANDS BUILD TRUST

Here are three main elements that help brands build trust in a customer relationship and some examples of firms that have done this well.

1. Be authentic

In 2009, Domino’s was hit with a PR crisis that went viral. Two employees decided to film a prank in the store and post it online. It was a PR nightmare for the brand – reaching more than a million views before being taken down. Rather than a traditional press release apology, they released a YouTube comeback. The President of the company owned up to their mistakes, apologized, and announced new hiring practices.  They also started a Twitter account to respond directly to complaints. Customers will reward authenticity and transparency. Domino’s used digital channels to address a major crisis in a more authentic and transparent way.  

2. Give more than the sale

There is a reason millennials say Amazon provides the best customer service. Despite their negative press in recent weeks, you can’t deny their outstanding customer service. For millions around the world, Amazon is the trusted name in ecommerce. Why? Because they go beyond just sending you what you ordered. They are there when you need them.  They are quick to offer replacements, refunds, and recommendations. And they can keep their sense of humor in the process. Marketing doesn’t stop after the transaction. The relationship continues and so should your service.

3. Honor the relationship

The Starbucks Gold Card program has done more than transform mobile payments; they do a tremendous job adding value through relationship marketing. The program recognizes loyalty, provides relevant offers, and rewards purchases. Starbucks has done what every successful marketer needs to do: honor the unique relationship with each customer.

 

In conclusion, trust is a must-have for any successful marketer because trust is the primary psychological force that generates purchase intent and loyalty. Our unconscious minds won’t let us engage fully if something doesn’t feel right. And as we become increasingly facile with digital connections, those feelings apply to our digital interactions. Marketers have a range of digital tools at their fingertips, but none of them can generate a relationship without an understanding that trust is a two-way street.","
  Marketing & Digital
"
"Bridge Partners Named One of Washington’s Fastest Growing Companies","PSBJ-FG100-2015","October 08, 2015","","","

The Puget Sound Business Journal has once again named Bridge Partners one of  Washington’s Fastest-Growing Private Companies. It is a great honor to be included in the rankings for 2015. This comes on the heels of Inc. Magazine recognizing Bridge Partners as one of America’s Fastest Growing Businesses for the fourth year in a row.

Richard Albrecht, CEO and Managing Partner, said, ""As Bridge has grown, our people have remained dedicated to client satisfaction and long-term business relationships. It’s this people-focused, customer-driven approach that allows us to move our business forward and achieve such impressive revenue growth. The accolades and awards are a great honor, but I view them as a natural byproduct of building an inclusive culture of professionalism, authenticity, and mutual respect.”

Since 2006, Bridge Partners has distinguished itself as a national leader in business consulting with offices in Seattle, San Francisco, Chicago, and Austin.","
  News
"
